Message_Subject, Author, Received_Reply, Time_of_Day, Day_of_Week, Message_Length, Any_Attachments, Archive_URL
Computes the gradient of an image by convolution with the first derivative of a Gaussian., nicrey, yes, 17:12:05, Mon, 3648, no, http://www.itk.org/pipermail/insight-users/2011-August/042329.html
Using ExtractImageFilter in a loop, Kevin Zhang, yes, 13:48:52, Tue, 4705, no, http://www.itk.org/pipermail/insight-users/2011-August/042227.html
Finding the closest pixel with a specific criteria, David Doria, self only, 16:00:39, Wed, 4792, no, http://www.itk.org/pipermail/insight-users/2011-August/042375.html
How to recognize similar images with ITK?, Agustin Conde Martin, yes, 17:21:46, Tue, 3088, yes, http://www.itk.org/pipermail/insight-users/2011-August/042300.html
A micro-lens-equipped smartphone for diagnosing malaria, Andriy Fedorov, no, 09:10:43, Wed, 3441, no, http://www.itk.org/pipermail/insight-users/2011-August/042176.html
'and/or' operation between images, iamrndm b, yes, 12:06:52, Tue, 4219, no, http://www.itk.org/pipermail/insight-users/2011-August/042225.html
ITKVideo modules compiling errors, siqi chen, no, 19:19:49, Tue, 3590, no, http://www.itk.org/pipermail/insight-users/2011-August/042231.html
Invitation to connect on LinkedIn, Doğu Vural ÖZBUDAK via LinkedIn, yes, 19:06:58, Sat, 4289, no, http://www.itk.org/pipermail/insight-users/2011-August/042269.html
Insight-users Digest  Vol 88  Issue 8, Andriy Fedorov, no, 12:24:00, Fri, 43406, yes, http://www.itk.org/pipermail/insight-users/2011-August/042197.html
Quick Q: Boundary Behavior of NeighborhoodIterator in ThreadedGenerateData?, kent williams, yes, 16:00:21, Thu, 3209, no, http://www.itk.org/pipermail/insight-users/2011-August/042313.html
Image processing position at Allen Institute  Seattle, Lydia Ng, no, 01:03:12, Wed, 3945, no, http://www.itk.org/pipermail/insight-users/2011-August/042170.html
itkImageToVTKImageFilter crashing during runtime, Chunwoo Kim, yes, 18:49:52, Mon, 3420, no, http://www.itk.org/pipermail/insight-users/2011-August/042151.html
ITK4 dll's and lib's - ITKCommon-4.0.dll is missing from your computer, Hugues Fontenelle, yes, 07:52:52, Mon, 4522, no, http://www.itk.org/pipermail/insight-users/2011-August/042206.html
question about .tiff images, soheilghafurian, no, 21:43:33, Sun, 2933, no, http://www.itk.org/pipermail/insight-users/2011-August/042322.html
VNLFFT vs. FFTW, Kevin H. Hobbs, yes, 10:41:00, Tue, 3533, no, http://www.itk.org/pipermail/insight-users/2011-August/042164.html
Running Registration Examples!, gdmoralesp, yes, 18:28:06, Sun, 2840, no, http://www.itk.org/pipermail/insight-users/2011-August/042273.html
Deriving itk::Image to natively support Matlab arrays, Ramón Casero Cañas, self only, 06:37:51, Wed, 4855, no, http://www.itk.org/pipermail/insight-users/2011-August/042237.html
Niblack local-threshold, Roman Grothausmann, no, 04:10:19, Tue, 3330, no, http://www.itk.org/pipermail/insight-users/2011-August/042367.html
Need help: How to iterate though Analyze Datasets, Alexandra.Derntl at gmx.at, yes, 11:11:15, Sat, 3202, no, http://www.itk.org/pipermail/insight-users/2011-August/042266.html
writing out a 3D volume, David Brayford, yes, 12:53:51, Wed, 3877, no, http://www.itk.org/pipermail/insight-users/2011-August/042246.html
Understanding OptimizerScales in its entirety, Wolf  Levin, yes, 20:09:57, Thu, 4136, no, http://www.itk.org/pipermail/insight-users/2011-August/042260.html
Metaheader for TIFF stack of Floats?, Robert.Atwood at diamond.ac.uk, no, 11:03:38, Mon, 22352, no, http://www.itk.org/pipermail/insight-users/2011-August/042136.html
The VTK Journal-New Submission, VTK Journal, no, 12:58:36, Tue, 3333, no, http://www.itk.org/pipermail/insight-users/2011-August/042168.html
How to open .cine files?, soheilghafurian, yes, 12:50:06, Thu, 2735, no, http://www.itk.org/pipermail/insight-users/2011-August/042254.html
About the status of itkv4., JiaXin Yuan, yes, 01:39:14, Mon, 2981, no, http://www.itk.org/pipermail/insight-users/2011-August/042200.html
Cocoa app with ITK  VTK to read DICOM file, Max Putrik, yes, 01:26:42, Wed, 3401, no, http://www.itk.org/pipermail/insight-users/2011-August/042234.html
multiresolution registration time, Sara Rolfe, no, 18:37:23, Tue, 3328, no, http://www.itk.org/pipermail/insight-users/2011-August/042301.html
An informal comparison between itk::BinaryDilateImageFilter and Matlab's imdilate(), Ramón Casero Cañas, yes, 06:46:40, Mon, 4327, no, http://www.itk.org/pipermail/insight-users/2011-August/042279.html
Curve/Surface representation and operations, Brecht Heyde, yes, 04:50:58, Wed, 3519, no, http://www.itk.org/pipermail/insight-users/2011-August/042236.html
[vtkusers] QWidget:Must construct a QApplication before a QPaintDevice, Dženan Zukić, no, 04:35:37, Mon, 10018, yes, http://www.itk.org/pipermail/insight-users/2011-August/042277.html
integration with Windows WPF, Rick Frank, yes, 12:04:24, Wed, 2659, no, http://www.itk.org/pipermail/insight-users/2011-August/042373.html
information back from threads for writing multi-threaded filters, iamrndm b, yes, 22:42:12, Wed, 3437, no, http://www.itk.org/pipermail/insight-users/2011-August/042181.html
The best way to extract the contours of X-ray image, Артем Николаевич, yes, 03:12:07, Mon, 3338, no, http://www.itk.org/pipermail/insight-users/2011-August/042355.html
LBFGSB missing StartEvent(), Brecht Heyde, yes, 10:00:10, Wed, 2638, no, http://www.itk.org/pipermail/insight-users/2011-August/042177.html
error C2872: 'uint16_t' : ambiguous symbol, Zein Salah, yes, 07:32:54, Mon, 3215, no, http://www.itk.org/pipermail/insight-users/2011-August/042126.html
writting my own threaded filter, iamrndm b, yes, 00:50:21, Mon, 2872, no, http://www.itk.org/pipermail/insight-users/2011-August/042125.html
Generate a sinogramm from image sequence, Артем Николаевич, no, 04:17:41, Mon, 3379, no, http://www.itk.org/pipermail/insight-users/2011-August/042356.html
How could I get part of information from a mhd file?, Mengqiu Tian, yes, 11:47:39, Tue, 3471, no, http://www.itk.org/pipermail/insight-users/2011-August/042166.html
Understanding OptimizerScales in its  entirety, Kris Zygmunt, no, 15:52:53, Fri, 8632, no, http://www.itk.org/pipermail/insight-users/2011-August/042348.html
Drawing Shape on BinaryImage(BW), 강민구, no, 12:20:01, Sat, 3108, no, http://www.itk.org/pipermail/insight-users/2011-August/042351.html
ITK DRR generation on a VTK volume, David Brayford, no, 14:18:43, Mon, 2727, no, http://www.itk.org/pipermail/insight-users/2011-August/042150.html
error C2872: 'uint16_t' : ambiguous symbol - same boat, Prashanth, no, 11:23:02, Mon, 3057, no, http://www.itk.org/pipermail/insight-users/2011-August/042141.html
Put labels onto image, Xiaopeng Yang, no, 21:25:34, Thu, 2973, no, http://www.itk.org/pipermail/insight-users/2011-August/042345.html
Does itkBinaryThresholdFilter compress output image ?, 강민구, yes, 08:43:43, Fri, 3434, no, http://www.itk.org/pipermail/insight-users/2011-August/042317.html
Problem using ImageToVTKImageFilter and QVTKWidget, jason yuan, no, 01:44:07, Wed, 4202, no, http://www.itk.org/pipermail/insight-users/2011-August/042171.html
Problems when Using Curves2DExtractor, Fan Yang, no, 22:04:23, Mon, 3548, no, http://www.itk.org/pipermail/insight-users/2011-August/042364.html
ShapedNeighborhoodIterator get() and set() functions, nicrey, no, 02:25:52, Tue, 4117, no, http://www.itk.org/pipermail/insight-users/2011-August/042335.html
fem registration, 369328686, yes, 22:27:37, Mon, 2837, no, http://www.itk.org/pipermail/insight-users/2011-August/042215.html
video / image sequence processing filters, Siddharth Srivastava, yes, 23:48:51, Tue, 3203, no, http://www.itk.org/pipermail/insight-users/2011-August/042232.html
ITKApps-ITKJava and external project wrapping for Java, Makrogiannis  Sokratis (NIH/NIA/IRP) [C], no, 11:13:29, Tue, 3353, no, http://www.itk.org/pipermail/insight-users/2011-August/042165.html
Use Initial Segmentation as Input Level-Set, Abayiz, yes, 08:29:57, Sun, 3118, no, http://www.itk.org/pipermail/insight-users/2011-August/042271.html
A Question about EigenAnalysis Filter, Vimal Singh, no, 19:32:08, Tue, 3036, no, http://www.itk.org/pipermail/insight-users/2011-August/042340.html
Select one lable of interest among several labels, Abayiz, yes, 08:34:26, Wed, 2974, no, http://www.itk.org/pipermail/insight-users/2011-August/042238.html
MatrixOffsetTransformBase Error from AffineTransform, Mehmet Suzen, no, 10:59:40, Fri, 4480, no, http://www.itk.org/pipermail/insight-users/2011-August/042318.html
